;region;incidens;year
0;Blekinge;3.75;2019
1;Dalarna;1.04;2019
2;Gotland;3.35;2019
3;Gävleborg;0.69;2019
4;Halland;1.79;2019
5;Jämtland;0.0;2019
6;Jönköping;1.37;2019
7;Kalmar;0.81;2019
8;Kronoberg;0.0;2019
9;Norrbotten;0.39;2019
10;Skåne;1.45;2019
11;Stockholm;4.16;2019
12;Södermanland;0.67;2019
13;Uppsala;8.33;2019
14;Värmland;0.7;2019
15;Västerbotten;2.2;2019
16;Västernorrland;0.0;2019
17;Västmanland;0.0;2019
18;Västra Götaland;1.44;2019
19;Örebro;4.59;2019
20;Östergötland;1.07;2019
21;Blekinge;1.25;2018
22;Dalarna;0.34;2018
23;Gotland;0.0;2018
24;Gävleborg;0.69;2018
25;Halland;1.51;2018
26;Jämtland;4.6;2018
27;Jönköping;1.1;2018
28;Kalmar;0.81;2018
29;Kronoberg;1.0;2018
30;Norrbotten;0.79;2018
31;Skåne;1.76;2018
32;Stockholm;6.22;2018
33;Södermanland;14.93;2018
34;Uppsala;3.45;2018
35;Värmland;1.77;2018
36;Västerbotten;35.16;2018
37;Västernorrland;1.22;2018
38;Västmanland;1.46;2018
39;Västra Götaland;2.63;2018
40;Örebro;12.9;2018
41;Östergötland;0.0;2018
42;Blekinge;1.25;2017
43;Dalarna;0.69;2017
44;Gotland;1.7;2017
45;Gävleborg;1.4;2017
46;Halland;5.84;2017
47;Jämtland;0.0;2017
48;Jönköping;0.55;2017
49;Kalmar;0.0;2017
50;Kronoberg;3.54;2017
51;Norrbotten;0.0;2017
52;Skåne;1.26;2017
53;Stockholm;4.02;2017
54;Södermanland;0.0;2017
55;Uppsala;1.89;2017
56;Värmland;7.48;2017
57;Västerbotten;0.0;2017
58;Västernorrland;0.0;2017
59;Västmanland;5.16;2017
60;Västra Götaland;1.77;2017
61;Örebro;7.69;2017
62;Östergötland;0.43;2017
63;Blekinge;1.26;2016
64;Dalarna;0.7;2016
65;Gotland;1.72;2016
66;Gävleborg;2.45;2016
67;Halland;0.93;2016
68;Jämtland;0.0;2016
69;Jönköping;1.7;2016
70;Kalmar;1.23;2016
71;Kronoberg;0.51;2016
72;Norrbotten;4.78;2016
73;Skåne;1.73;2016
74;Stockholm;2.11;2016
75;Södermanland;0.0;2016
76;Uppsala;3.59;2016
77;Värmland;0.35;2016
78;Västerbotten;1.88;2016
79;Västernorrland;0.0;2016
80;Västmanland;4.85;2016
81;Västra Götaland;1.43;2016
82;Örebro;0.33;2016
83;Östergötland;0.0;2016
84;Blekinge;0.0;2015
85;Dalarna;0.0;2015
86;Gotland;0.0;2015
87;Gävleborg;3.19;2015
88;Halland;1.27;2015
89;Jämtland;0.0;2015
90;Jönköping;1.14;2015
91;Kalmar;1.68;2015
92;Kronoberg;2.09;2015
93;Norrbotten;0.0;2015
94;Skåne;1.91;2015
95;Stockholm;2.5;2015
96;Södermanland;0.0;2015
97;Uppsala;2.25;2015
98;Värmland;1.08;2015
99;Västerbotten;1.13;2015
100;Västernorrland;0.0;2015
101;Västmanland;0.0;2015
102;Västra Götaland;1.33;2015
103;Örebro;5.15;2015
104;Östergötland;0.0;2015
105;Blekinge;0.64;2014
106;Dalarna;0.35;2014
107;Gotland;0.0;2014
108;Gävleborg;76.43;2014
109;Halland;0.64;2014
110;Jämtland;1.57;2014
111;Jönköping;2.03;2014
112;Kalmar;0.42;2014
113;Kronoberg;7.4;2014
114;Norrbotten;0.4;2014
115;Skåne;1.93;2014
116;Stockholm;2.54;2014
117;Södermanland;0.71;2014
118;Uppsala;10.89;2014
119;Värmland;1.09;2014
120;Västerbotten;1.52;2014
121;Västernorrland;0.0;2014
122;Västmanland;0.38;2014
123;Västra Götaland;1.22;2014
124;Örebro;1.04;2014
125;Östergötland;1.58;2014
126;Blekinge;0.65;2013
127;Dalarna;0.0;2013
128;Gotland;0.0;2013
129;Gävleborg;32.37;2013
130;Halland;0.32;2013
131;Jämtland;0.0;2013
132;Jönköping;1.46;2013
133;Kalmar;1.28;2013
134;Kronoberg;3.74;2013
135;Norrbotten;0.8;2013
136;Skåne;1.49;2013
137;Stockholm;2.08;2013
138;Södermanland;0.0;2013
139;Uppsala;1.73;2013
140;Värmland;0.36;2013
141;Västerbotten;0.0;2013
142;Västernorrland;0.41;2013
143;Västmanland;0.0;2013
144;Västra Götaland;2.6;2013
145;Örebro;0.0;2013
146;Östergötland;0.91;2013
147;Blekinge;0.65;2012
148;Dalarna;0.0;2012
149;Gotland;0.0;2012
150;Gävleborg;0.0;2012
151;Halland;3.28;2012
152;Jämtland;0.0;2012
153;Jönköping;4.42;2012
154;Kalmar;1.28;2012
155;Kronoberg;2.15;2012
156;Norrbotten;0.4;2012
157;Skåne;0.79;2012
158;Stockholm;3.99;2012
159;Södermanland;0.36;2012
160;Uppsala;0.58;2012
161;Värmland;0.36;2012
162;Västerbotten;0.0;2012
163;Västernorrland;0.0;2012
164;Västmanland;0.39;2012
165;Västra Götaland;1.06;2012
166;Örebro;0.0;2012
167;Östergötland;0.23;2012
168;Blekinge;0.0;2011
169;Dalarna;0.36;2011
170;Gotland;1.74;2011
171;Gävleborg;0.36;2011
172;Halland;1.32;2011
173;Jämtland;0.79;2011
174;Jönköping;0.88;2011
175;Kalmar;0.85;2011
176;Kronoberg;0.54;2011
177;Norrbotten;0.4;2011
178;Skåne;1.35;2011
179;Stockholm;1.91;2011
180;Södermanland;0.36;2011
181;Uppsala;0.0;2011
182;Värmland;0.73;2011
183;Västerbotten;0.0;2011
184;Västernorrland;15.27;2011
185;Västmanland;0.78;2011
186;Västra Götaland;0.37;2011
187;Örebro;0.0;2011
188;Östergötland;0.46;2011
189;Blekinge;0.0;2010
190;Dalarna;0.36;2010
191;Gotland;0.0;2010
192;Gävleborg;0.36;2010
193;Halland;4.34;2010
194;Jämtland;0.0;2010
195;Jönköping;0.89;2010
196;Kalmar;1.28;2010
197;Kronoberg;0.0;2010
198;Norrbotten;2.81;2010
199;Skåne;0.48;2010
200;Stockholm;2.68;2010
201;Södermanland;0.0;2010
202;Uppsala;2.97;2010
203;Värmland;0.36;2010
204;Västerbotten;0.77;2010
205;Västernorrland;24.71;2010
206;Västmanland;16.23;2010
207;Västra Götaland;0.5;2010
208;Örebro;0.71;2010
209;Östergötland;0.23;2010
